iter	Passed	Remaining
0	59	59861
1	60	30047
2	60	20103
3	60	15123
4	60	12137
5	61	10143
6	61	8719
7	61	7650
8	61	6826
9	62	6168
10	62	5626
11	62	5174
12	63	4790
13	63	4462
14	63	4177
15	63	3931
16	64	3713
17	64	3521
18	64	3344
19	65	3185
20	65	3042
21	65	2911
22	65	2791
23	65	2682
24	66	2582
25	66	2489
26	66	2402
27	66	2323
28	67	2248
29	67	2179
30	67	2115
31	67	2054
32	68	1996
33	68	1942
34	68	1892
35	68	1844
36	69	1800
37	69	1757
38	69	1716
39	69	1677
40	70	1639
41	70	1604
42	70	1570
43	70	1538
44	71	1507
45	71	1477
46	71	1449
47	71	1422
48	72	1397
49	72	1372
50	72	1351
51	72	1328
52	73	1305
53	73	1284
54	73	1264
55	73	1244
56	74	1225
57	74	1206
58	74	1188
59	74	1170
60	74	1153
61	75	1137
62	75	1121
63	75	1107
64	75	1092
65	76	1077
66	76	1064
67	76	1051
68	76	1038
69	77	1025
70	77	1013
71	77	1001
72	77	989
73	78	978
74	78	967
75	78	957
76	79	948
77	79	939
78	79	930
79	80	920
80	80	911
81	80	901
82	80	891
83	80	882
84	81	873
85	81	865
86	81	856
87	81	848
88	82	840
89	82	833
90	82	825
91	82	818
92	83	811
93	83	804
94	83	797
95	83	790
96	84	783
97	84	776
98	84	770
99	84	764
100	85	757
101	85	751
102	85	745
103	85	739
104	86	734
105	86	728
106	86	723
107	86	717
108	87	712
109	87	707
110	87	701
111	87	696
112	88	691
113	88	686
114	88	681
115	88	677
116	88	671
117	89	667
118	89	662
119	89	658
120	89	653
121	90	648
122	90	644
123	90	640
124	90	635
125	91	632
126	91	627
127	91	623
128	91	619
129	92	616
130	92	612
131	92	608
132	92	605
133	93	601
134	93	597
135	93	594
136	93	590
137	94	587
138	94	583
139	94	580
140	94	577
141	94	573
142	95	569
143	95	566
144	95	563
145	95	560
146	96	557
147	96	555
148	96	552
149	96	549
150	97	546
151	97	544
152	97	541
153	98	538
154	98	536
155	98	533
156	98	530
157	99	527
158	99	525
159	99	522
160	99	519
161	99	516
162	100	514
163	100	511
164	100	508
165	100	506
166	101	504
167	101	501
168	101	499
169	101	496
170	101	494
171	102	491
172	102	489
173	102	487
174	102	484
175	103	482
176	103	480
177	103	478
178	103	476
179	104	474
180	104	472
181	104	470
182	104	467
183	105	465
184	105	463
185	105	461
186	105	459
187	105	457
188	106	455
189	106	453
190	106	451
191	106	450
192	107	448
193	107	446
194	107	444
195	107	442
196	108	440
197	108	439
198	108	437
199	108	435
200	109	434
201	109	432
202	109	430
203	109	428
204	110	427
205	110	425
206	110	423
207	110	422
208	111	420
209	111	418
210	111	417
211	111	415
212	112	414
213	112	412
214	112	410
215	112	409
216	113	407
217	113	406
218	113	404
219	113	403
220	113	401
221	114	400
222	114	398
223	114	397
224	114	395
225	115	394
226	115	393
227	115	391
228	115	390
229	116	388
230	116	387
231	116	385
232	116	384
233	117	383
234	117	381
235	117	380
236	117	379
237	118	377
238	118	376
239	118	375
240	118	373
241	118	372
242	119	371
243	119	369
244	119	368
245	119	367
246	120	366
247	120	364
248	120	363
249	120	362
250	120	360
251	121	359
252	121	358
253	121	357
254	121	356
255	122	355
256	122	353
257	122	352
258	122	351
259	123	350
260	123	349
261	123	348
262	124	347
263	124	346
264	124	345
265	124	344
266	124	343
267	125	341
268	125	340
269	125	339
270	125	338
271	126	337
272	126	336
